rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,NH,4.38413945166901,0.239534915760528,1.35700497193064,0.01,64,61,16,5.648,3.456,779,768,392,0,203,,67,136,3
2,PCR,NH,4.38969588703845,0.241078684632633,1.37102854162326,0.01,68,66,17,6.001,3.672,962,961,302,0,179,,86,93,2
3,PCR,NH,4.36320959517852,0.242680863755992,1.34000132557023,0.01,60,59,15,5.295,3.24,761,759,354,0,188,,70,118,1
4,PCR,NH,4.27666791732663,0.247172860293998,1.34349249296379,0.01,43,43,10.75,3.79475,2.322,369,369,275,0,163,,34,129,0
5,PCR,NH,4.37745793790806,0.239518689575427,1.36442770912649,0.01,56,54,14,4.942,3.024,634,632,324,0,186,,55,131,2
6,PCR,NH,4.30405542358599,0.245219829660482,1.343639601386,0.01,8,8,2,0.706,0.432,64,64,378,0,180,,6,174,0
7,PCR,NH,4.22450064374687,0.246781664535653,1.35114231757119,0.01,65,63,16.25,5.73625,3.51,729,723,346,0,184,,66,118,2
8,PCR,NH,4.21884747938677,0.252231988320562,1.35535907759423,0.01,56,50,14,4.942,3.024,715,708,301,0,179,,69,110,6
9,PCR,NH,4.4198796606097,0.2388344600072,1.34427998413973,0.01,49,45,12.25,4.32425,2.646,627,622,333,0,188,,57,131,4
10,PCR,NH,4.36498793473578,0.240364779772429,1.3611554798813,0.01,38,37,9.5,3.3535,2.052,366,361,246,0,142,,33,109,1
11,PCR,NH,4.46966783203102,0.238267032743326,1.36074847156818,0.01,60,58,15,5.295,3.24,709,706,421,0,197,,67,130,2
12,PCR,NH,4.27262405584299,0.249256551050939,1.35521631862318,0.01,43,41,10.75,3.79475,2.322,436,431,383,0,189,,38,151,2
13,PCR,NH,4.32997098653347,0.244852579443251,1.35195687402658,0.01,50,49,12.5,4.4125,2.7,578,574,361,0,185,,51,134,1
14,PCR,NH,4.34593870781989,0.242665310761306,1.34191861485159,0.01,3,3,0.75,0.26475,0.162,32,32,373,0,186,,3,183,0
15,PCR,NH,4.27702077773427,0.248433702624565,1.34848263351994,0.01,27,26,6.75,2.38275,1.458,335,332,375,0,213,,30,183,1
16,PCR,NH,4.25971307691952,0.251481452501021,1.33936027100213,0.01,9,9,2.25,0.79425,0.486,73,73,326,0,161,,7,154,0
