rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,NH,4.48852193955802,0.233455785089912,1.36308232058407,0.02,56,48,14,4.942,3.024,1490,1474,662,0,357,,126,231,8
2,PCR,NH,4.25937787821184,0.248838965813513,1.3640232255332,0.02,40,39,10,3.53,2.16,895,894,689,0,375,,84,291,1
3,PCR,NH,4.23781811872838,0.249241152678156,1.3354822276552,0.02,56,55,14,4.942,3.024,1159,1155,790,0,372,,110,262,1
4,PCR,NH,4.48187105200475,0.236073357032514,1.35084646499075,0.02,24,23,6,2.118,1.296,658,655,705,0,390,,57,333,1
5,PCR,NH,4.3391229494023,0.242459495973629,1.35060449035027,0.02,34,33,8.5,3.0005,1.836,710,709,594,0,342,,66,276,1
6,PCR,NH,4.30940036215534,0.244925424488272,1.35688331037585,0.02,48,45,12,4.236,2.592,864,858,717,0,370,,80,290,3
7,PCR,NH,4.38959096165715,0.240054325244333,1.35625128263681,0.02,42,38,10.5,3.7065,2.268,852,843,666,0,344,,82,262,4
8,PCR,NH,4.51121477865301,0.231933673601643,1.3584713040224,0.02,54,50,13.5,4.7655,2.916,1326,1319,738,0,361,,130,231,4
9,PCR,NH,4.41865145012432,0.236639569928128,1.34896270333729,0.02,4,4,1,0.353,0.216,160,160,778,0,387,,15,372,0
10,PCR,NH,4.30914405865807,0.244464713507016,1.36246575595982,0.02,41,38,10.25,3.61825,2.214,1050,1044,673,0,354,,95,259,3
11,PCR,NH,4.32685990319864,0.246207266980903,1.34197782404366,0.02,5,4,1.25,0.44125,0.27,182,178,749,0,378,,16,362,1
12,PCR,NH,4.27593645948437,0.248507382534984,1.33936259824999,0.02,36,34,9,3.177,1.944,835,831,716,0,409,,81,328,2
13,PCR,NH,4.37545808819445,0.241057932013808,1.354444146237,0.02,68,63,17,6.001,3.672,1405,1400,685,0,368,,127,241,5
14,PCR,NH,4.33311297296417,0.243110687572767,1.337397797071,0.02,53,49,13.25,4.67725,2.862,1218,1208,737,0,366,,107,259,4
