rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,NH,4.42812270739872,0.240238439233563,1.35397759096877,0.02,53,48,13.25,4.67725,2.862,92,79,781,0,392,,13,379,5
2,PCR,NH,4.34034345451567,0.243681740101601,1.34667641230983,0.02,8,7,2,0.706,0.432,29,24,738,0,375,,4,371,1
3,PCR,NH,4.34007134233823,0.243159217453534,1.3636366810343,0.02,68,57,17,6.001,3.672,140,118,698,0,372,,17,355,11
4,PCR,NH,4.27296247167218,0.247629345134123,1.34633000710135,0.02,54,51,13.5,4.7655,2.916,58,47,815,0,411,,7,404,3
5,PCR,NH,4.33808226340847,0.243282741325532,1.35639989585062,0.02,52,46,13,4.589,2.808,76,67,696,0,366,,10,356,6
6,PCR,NH,4.41160999983872,0.237884203677555,1.35317050116529,0.02,42,37,10.5,3.7065,2.268,75,72,709,0,349,,11,338,5
7,PCR,NH,4.34504922757174,0.242488421706904,1.35432990085458,0.02,42,38,10.5,3.7065,2.268,90,83,674,0,355,,10,345,4
8,PCR,NH,4.50127335780872,0.23337351324836,1.35977298914257,0.02,34,31,8.5,3.0005,1.836,47,41,672,0,343,,5,338,3
9,PCR,NH,4.21969147254851,0.252248235370405,1.35932478798844,0.02,80,74,20,7.06,4.32,106,90,652,0,348,,14,334,6
10,PCR,NH,4.27591883513182,0.24763748575038,1.33866270708893,0.02,24,22,6,2.118,1.296,45,43,759,0,370,,6,364,2
11,PCR,NH,4.3159440567551,0.246104637594842,1.34930929218414,0.02,39,39,9.75,3.44175,2.106,35,35,605,0,360,,6,354,0
12,PCR,NH,4.20630852410173,0.250474187880465,1.36250805422032,0.02,36,30,9,3.177,1.944,140,125,679,0,354,,17,337,6
13,PCR,NH,4.23244335342125,0.250248830239998,1.35211503886512,0.02,11,11,2.75,0.97075,0.594,19,19,579,0,326,,2,324,0
14,PCR,NH,4.28672409764869,0.248554160925353,1.36189465031563,0.02,72,65,18,6.354,3.888,130,115,837,0,392,,17,375,7
15,PCR,NH,4.26099506754631,0.246775999558217,1.34186468413607,0.02,33,29,8.25,2.91225,1.782,62,59,705,0,368,,8,360,4
16,PCR,NH,4.38656506433502,0.239394645408575,1.36734730233853,0.02,8,7,2,0.706,0.432,10,5,671,0,332,,1,331,1
17,PCR,NH,4.27765074811719,0.24476784069721,1.33623176019242,0.02,35,30,8.75,3.08875,1.89,75,66,847,0,387,,9,378,5
18,PCR,NH,4.32922559776712,0.243896133202677,1.36645383878085,0.02,50,46,12.5,4.4125,2.7,101,93,726,0,381,,12,369,4
19,PCR,NH,4.31913600542564,0.245931721525813,1.34084560702126,0.02,59,53,14.75,5.20675,3.186,107,94,693,0,360,,13,347,6
20,PCR,NH,4.27008721453119,0.247579838864442,1.33906127444796,0.02,65,61,16.25,5.73625,3.51,110,106,796,0,375,,15,360,4
21,PCR,NH,4.38094326259688,0.239046654340334,1.3595073136584,0.02,28,25,7,2.471,1.512,45,41,727,0,367,,7,360,3
22,PCR,NH,4.36368441334972,0.243562548333684,1.33677130274631,0.02,43,35,10.75,3.79475,2.322,84,73,823,0,388,,11,377,8
23,PCR,NH,4.33980130879347,0.243120062668164,1.34644992722032,0.02,8,7,2,0.706,0.432,10,10,753,0,351,,1,350,1
24,PCR,NH,4.13357634371617,0.257585160734111,1.35034057237346,0.02,49,44,12.25,4.32425,2.646,83,81,659,0,358,,11,347,5
25,PCR,NH,4.14918890144667,0.253054116544123,1.34261953798399,0.02,6,6,1.5,0.5295,0.324,0,0,690,0,368,,0,368,0
26,PCR,NH,4.05007759060729,0.260051669447264,1.35357485462469,0.02,73,67,18.25,6.44225,3.942,125,116,765,0,383,,18,365,6
27,PCR,NH,4.23290800341488,0.249758814602503,1.35013223852971,0.02,23,21,5.75,2.02975,1.242,45,38,646,0,387,,5,382,2
28,PCR,NH,4.33582102106515,0.242850846566286,1.34630894300177,0.02,53,52,13.25,4.67725,2.862,30,29,746,0,392,,3,389,1
29,PCR,NH,4.34700446180852,0.241853750327737,1.35146518687759,0.02,63,60,15.75,5.55975,3.402,44,42,740,0,360,,7,353,3
30,PCR,NH,4.25340233784916,0.250319871556997,1.34744009386545,0.02,60,56,15,5.295,3.24,106,98,671,0,364,,13,351,4
31,PCR,NH,4.34406998152983,0.243499193770734,1.35099750972966,0.02,47,46,11.75,4.14775,2.538,71,66,694,0,353,,9,344,1
32,PCR,NH,4.19591053002514,0.25116661518767,1.3487101426083,0.02,38,35,9.5,3.3535,2.052,97,95,556,0,347,,12,335,3
33,PCR,NH,4.49199859089873,0.235138448996546,1.34132939547549,0.02,4,3,1,0.353,0.216,10,6,686,0,371,,1,370,1
34,PCR,NH,4.39725832603549,0.242037167096331,1.3549063939947,0.02,30,29,7.5,2.6475,1.62,45,44,788,0,403,,6,397,1
35,PCR,NH,4.27423552100565,0.247670927781704,1.37078927581194,0.02,57,53,14.25,5.03025,3.078,94,86,702,0,366,,11,355,4
36,PCR,NH,4.18599024955967,0.251836932389652,1.33959819394127,0.02,67,62,16.75,5.91275,3.618,78,61,673,0,340,,10,330,5
37,PCR,NH,4.24974580540709,0.247274424657239,1.3505513099942,0.02,65,61,16.25,5.73625,3.51,55,50,689,0,327,,7,320,4
38,PCR,NH,4.31690346247673,0.245715925019423,1.33730860637976,0.02,45,40,11.25,3.97125,2.43,112,105,661,0,401,,13,388,5
39,PCR,NH,4.34362755008365,0.244912687742323,1.3469742696949,0.02,66,60,16.5,5.8245,3.564,114,108,669,0,341,,17,324,6
40,PCR,NH,4.46602545534998,0.234853645942895,1.35526541772202,0.02,64,59,16,5.648,3.456,85,77,623,0,362,,10,352,5
41,PCR,NH,4.33495507955062,0.243520653841532,1.34005493825961,0.02,48,45,12,4.236,2.592,63,59,718,0,398,,9,389,3
42,PCR,NH,4.29747542685663,0.246169881875664,1.34106713231667,0.02,50,48,12.5,4.4125,2.7,92,85,624,0,343,,12,331,2
43,PCR,NH,4.32922723170296,0.242667438279516,1.3584490841877,0.02,60,56,15,5.295,3.24,119,116,736,0,358,,14,344,4
