rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,dorm,4.28227710370935,0.247473671402743,1.35187625442332,0.02,1666,1555,64.974,15.463812,0.1666,2702,2500,22071,0,11439,,343,11096,111
2,PCR,dorm,4.31546644680666,0.245233488791913,1.34832322763459,0.02,1351,1240,52.689,12.539982,0.1351,2244,2055,21663,0,11459,,282,11177,111
3,PCR,dorm,4.28708502397107,0.246598058544556,1.35142538833589,0.02,1557,1436,60.723,14.452074,0.1557,2552,2345,21549,0,11454,,319,11135,121
4,PCR,dorm,4.28913975039716,0.246438155958027,1.34967076270544,0.02,1493,1370,58.227,13.858026,0.1493,2470,2246,22033,0,11495,,311,11184,123
5,PCR,dorm,4.29544418053063,0.246126454661091,1.35273005917203,0.02,1526,1431,59.514,14.164332,0.1526,2228,2053,22035,0,11478,,278,11200,95
6,PCR,dorm,4.33036590141456,0.244030025041021,1.34938198712934,0.02,1405,1287,54.795,13.04121,0.1405,2557,2338,21835,0,11431,,323,11108,118
7,PCR,dorm,4.29590580846669,0.246051805416605,1.34909434913604,0.02,1529,1391,59.631,14.192178,0.1529,2737,2466,21935,0,11630,,340,11290,138
8,PCR,dorm,4.29939854744634,0.246202554899865,1.3477439262274,0.02,1528,1404,59.592,14.182896,0.1528,2769,2567,22337,0,11464,,344,11120,124
9,PCR,dorm,4.312630303647,0.245139942210333,1.34784824738161,0.02,1588,1452,61.932,14.739816,0.1588,2476,2222,21648,0,11615,,314,11301,136
10,PCR,dorm,4.29000672595595,0.246491593729524,1.34871109216818,0.02,1622,1489,63.258,15.055404,0.1622,2640,2369,21980,0,11429,,325,11104,133
11,PCR,dorm,4.28996736012359,0.246576255883758,1.3525763486177,0.02,1562,1441,60.918,14.498484,0.1562,2684,2470,21837,0,11528,,317,11211,121
12,PCR,dorm,4.2814567980108,0.246767092732165,1.35029697425539,0.02,1510,1382,58.89,14.01582,0.151,2745,2499,21938,0,11397,,311,11086,128
13,PCR,dorm,4.31973048010432,0.244709651071789,1.35003349222815,0.02,1526,1390,59.514,14.164332,0.1526,2579,2334,21258,0,11556,,315,11241,136
14,PCR,dorm,4.30913450697696,0.245372453949561,1.34960053554217,0.02,1488,1359,58.032,13.811616,0.1488,2727,2493,21980,0,11441,,337,11104,129
15,PCR,dorm,4.28570638006841,0.246813947142733,1.35036113315856,0.02,1521,1412,59.319,14.117922,0.1521,2430,2228,22776,0,11585,,297,11288,109
16,PCR,dorm,4.31316507538121,0.244989818520498,1.34996327756132,0.02,1460,1324,56.94,13.55172,0.146,2512,2251,21883,0,11365,,319,11046,136
17,PCR,dorm,4.3380445776197,0.243581423039457,1.34921604880376,0.02,1402,1295,54.678,13.013364,0.1402,2290,2087,21850,0,11447,,302,11145,107
18,PCR,dorm,4.29765501072135,0.246034394339913,1.35031212573736,0.02,1439,1311,56.121,13.356798,0.1439,2654,2438,21829,0,11554,,319,11235,128
19,PCR,dorm,4.29540892332507,0.246050375454167,1.35023519654514,0.02,1465,1342,57.135,13.59813,0.1465,2401,2178,22283,0,11487,,300,11187,123
20,PCR,dorm,4.26229327628053,0.24802728461227,1.34940431898074,0.02,1603,1458,62.517,14.879046,0.1603,2560,2246,22049,0,11317,,325,10992,145
21,PCR,dorm,4.29313117132716,0.24645118668306,1.34817389101644,0.02,1595,1487,62.205,14.80479,0.1595,2574,2381,21584,0,11383,,331,11052,108
22,PCR,dorm,4.3074007830603,0.245748102306436,1.35012571761136,0.02,1584,1452,61.776,14.702688,0.1584,2506,2283,21812,0,11447,,319,11128,132
23,PCR,dorm,4.31029403027657,0.245340982150314,1.34784101457182,0.02,1708,1598,66.612,15.853656,0.1708,2612,2434,21396,0,11294,,322,10972,110
24,PCR,dorm,4.31943934141408,0.244882459029123,1.35212954622168,0.02,1537,1406,59.943,14.266434,0.1537,2374,2145,22120,0,11492,,307,11185,131
25,PCR,dorm,4.27359750120243,0.247397507078109,1.34954482697434,0.02,1670,1553,65.13,15.50094,0.167,2782,2559,22475,0,11536,,358,11178,117
26,PCR,dorm,4.30580974428946,0.24544392362799,1.35142782423499,0.02,1615,1500,62.985,14.99043,0.1615,2450,2223,22071,0,11510,,320,11190,115
