rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,dorm,4.28802298336432,0.247024527359837,1.34995325691306,0.1,893,603,34.827,8.288826,0.0893,6660,6079,95333,0,57334,,770,56564,290
2,PCR,dorm,4.32240336301639,0.244805977729102,1.34966021242669,0.1,986,671,38.454,9.152052,0.0986,7853,7252,96302,0,57347,,913,56434,315
3,PCR,dorm,4.30853411890099,0.245559085455004,1.35068128559568,0.1,1074,746,41.886,9.968868,0.1074,7907,7299,95334,0,56932,,909,56023,328
4,PCR,dorm,4.28465418157425,0.246679850204315,1.34868973659292,0.1,765,545,29.835,7.10073,0.0765,5752,5347,95157,0,57497,,657,56840,220
5,PCR,dorm,4.30384792466392,0.245857750087459,1.35083925304846,0.1,880,583,34.32,8.16816,0.088,7075,6483,95143,0,57115,,827,56288,297
6,PCR,dorm,4.29934470736583,0.245905286489203,1.35041132416295,0.1,954,663,37.206,8.855028,0.0954,7482,6864,94690,0,56889,,865,56024,291
7,PCR,dorm,4.28959637243786,0.246656979577381,1.34749394541254,0.1,949,646,37.011,8.808618,0.0949,7287,6673,96104,0,57214,,858,56356,303
8,PCR,dorm,4.31560671914126,0.244692639216826,1.35213811654773,0.1,760,518,29.64,7.05432,0.076,5852,5384,94840,0,57150,,678,56472,242
9,PCR,dorm,4.31717347061034,0.24486259108645,1.34942229433741,0.1,822,553,32.058,7.629804,0.0822,6573,6012,94940,0,57390,,760,56630,269
10,PCR,dorm,4.28068743659931,0.247141993053681,1.34941704683403,0.1,974,670,37.986,9.040668,0.0974,7565,6954,95753,0,57575,,892,56683,304
11,PCR,dorm,4.27230311371773,0.247949668052117,1.34907222165349,0.1,847,572,33.033,7.861854,0.0847,6094,5540,94952,0,57436,,720,56716,275
12,PCR,dorm,4.29384827415966,0.245919474705089,1.35094917753423,0.1,998,628,38.922,9.263436,0.0998,8487,7740,95108,0,57123,,963,56160,370
13,PCR,dorm,4.30400363937517,0.245544915498803,1.34791473260413,0.1,795,552,31.005,7.37919,0.0795,6083,5586,95014,0,57414,,716,56698,243
14,PCR,dorm,4.32198070230753,0.244890866409102,1.35019201579561,0.1,762,519,29.718,7.072884,0.0762,5295,4844,94961,0,57218,,652,56566,243
15,PCR,dorm,4.31064039850534,0.245357787267515,1.34933000202007,0.1,722,488,28.158,6.701604,0.0722,5815,5342,94892,0,57271,,662,56609,234
16,PCR,dorm,4.30132362971028,0.246181660510799,1.34869245014843,0.1,787,523,30.693,7.304934,0.0787,6350,5809,94464,0,57086,,725,56361,264
17,PCR,dorm,4.3003711794998,0.245526840815649,1.35061036323665,0.1,734,487,28.626,6.812988,0.0734,5698,5196,96083,0,57410,,683,56727,247
18,PCR,dorm,4.29501724487675,0.246106917136433,1.34898837072992,0.1,809,537,31.551,7.509138,0.0809,6613,6125,95636,0,57609,,775,56834,272
19,PCR,dorm,4.29775998182905,0.246216482228224,1.34979529980552,0.1,805,548,31.395,7.47201,0.0805,6507,5972,95033,0,57459,,778,56681,257
20,PCR,dorm,4.32167637349767,0.244731912214135,1.35091145208913,0.1,1015,696,39.585,9.42123,0.1015,7601,7019,95388,0,57449,,897,56552,319
21,PCR,dorm,4.32433052924558,0.244312048727515,1.34993103481683,0.1,946,664,36.894,8.780772,0.0946,7194,6642,95634,0,57429,,875,56554,282
22,PCR,dorm,4.28874088629063,0.246747637457088,1.35106236563599,0.1,741,510,28.899,6.877962,0.0741,5714,5290,94763,0,57097,,675,56422,231
23,PCR,dorm,4.30586697699807,0.245598618942195,1.34953708356532,0.1,729,482,28.431,6.766578,0.0729,5916,5435,94897,0,57340,,680,56660,247
24,PCR,dorm,4.31138147923593,0.245585716808104,1.34909264767106,0.1,891,592,34.749,8.270262,0.0891,6991,6428,95039,0,57152,,792,56360,299
25,PCR,dorm,4.32099375765457,0.244495631157831,1.35202598603061,0.1,664,440,25.896,6.163248,0.0664,5372,4909,95677,0,57340,,625,56715,224
26,PCR,dorm,4.30093601626246,0.245484404550147,1.3485023148431,0.1,893,597,34.827,8.288826,0.0893,6867,6291,94459,0,57602,,829,56773,296
27,PCR,dorm,4.30709692506151,0.245802958949281,1.35029481124082,0.1,860,585,33.54,7.98252,0.086,6561,5987,96161,0,57891,,756,57135,275
28,PCR,dorm,4.32713628890386,0.244371275242796,1.34869572908704,0.1,808,551,31.512,7.499856,0.0808,6084,5610,95092,0,57394,,726,56668,257
29,PCR,dorm,4.28872747931096,0.246926246875726,1.34681154039096,0.1,853,583,33.267,7.917546,0.0853,6909,6377,95594,0,57441,,810,56631,270
30,PCR,dorm,4.28908436760219,0.246671253249578,1.35157827499276,0.1,959,664,37.401,8.901438,0.0959,7423,6882,95027,0,57016,,886,56130,295
31,PCR,dorm,4.2909881373315,0.246301914724439,1.34866638079938,0.1,1019,705,39.741,9.458358,0.1019,7805,7173,96134,0,57572,,921,56651,314
32,PCR,dorm,4.33049354067084,0.244632286222075,1.35222004178796,0.1,881,575,34.359,8.177442,0.0881,6829,6207,95936,0,57429,,788,56641,306
33,PCR,dorm,4.29706927621201,0.245942718034361,1.35067233212048,0.1,808,526,31.512,7.499856,0.0808,6401,5852,95314,0,57642,,744,56898,282
34,PCR,dorm,4.28772618207267,0.246856149106177,1.34829754351953,0.1,944,657,36.816,8.762208,0.0944,7035,6429,96306,0,57340,,827,56513,287
35,PCR,dorm,4.28750375228627,0.246344546080337,1.35064372505015,0.1,771,518,30.069,7.156422,0.0771,6399,5909,95227,0,57347,,747,56600,253
