rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,NH,4.27567383809716,0.249098703717456,1.3518599988812,0.01,67,64,16.75,5.91275,3.618,99,95,394,0,186,,9,177,3
2,PCR,NH,4.19116815362255,0.254006038690903,1.35321543385519,0.01,66,65,16.5,5.8245,3.564,42,40,365,0,172,,4,168,1
3,PCR,NH,4.23410690353658,0.250552519554394,1.35041404048921,0.01,64,63,16,5.648,3.456,57,54,388,0,203,,5,198,1
4,PCR,NH,4.25392365886249,0.249334832119713,1.34473572359582,0.01,49,46,12.25,4.32425,2.646,51,49,347,0,193,,5,188,3
5,PCR,NH,4.37149980853561,0.240777861362428,1.35379955592349,0.01,26,26,6.5,2.2945,1.404,29,29,356,0,193,,3,190,0
6,PCR,NH,4.31008182044952,0.244056946876535,1.35649257140179,0.01,45,41,11.25,3.97125,2.43,76,73,347,0,188,,7,181,4
7,PCR,NH,4.30333953882558,0.244407686222095,1.35078292310302,0.01,40,39,10,3.53,2.16,31,30,436,0,184,,3,181,1
8,PCR,NH,4.37960947820972,0.242556847335645,1.36176741330211,0.01,66,66,16.5,5.8245,3.564,33,28,362,0,184,,3,181,0
9,PCR,NH,4.34067540217173,0.243697471310905,1.34946602014318,0.01,51,48,12.75,4.50075,2.754,73,70,311,0,168,,6,162,3
10,PCR,NH,4.42960905213379,0.238715379086219,1.36205444934866,0.01,49,48,12.25,4.32425,2.646,65,61,357,0,185,,5,180,1
11,PCR,NH,4.39784819646001,0.240600882511019,1.34540244577969,0.01,51,50,12.75,4.50075,2.754,29,28,374,0,191,,3,188,1
12,PCR,NH,4.25876011985474,0.248271185000416,1.35591274491156,0.01,51,48,12.75,4.50075,2.754,166,161,463,0,219,,7,212,3
13,PCR,NH,4.20185939260565,0.253246208576193,1.36675784964677,0.01,60,57,15,5.295,3.24,40,33,319,0,171,,4,167,3
14,PCR,NH,4.31460070444529,0.244175903388702,1.33900199617711,0.01,54,52,13.5,4.7655,2.916,88,84,320,0,176,,7,169,2
15,PCR,NH,4.41049474108282,0.239364609172729,1.33635300820749,0.01,4,4,1,0.353,0.216,13,13,315,0,175,,1,174,0
16,PCR,NH,4.20566350193325,0.251025502834788,1.3618788920963,0.01,77,73,19.25,6.79525,4.158,91,81,330,0,174,,8,166,4
17,PCR,NH,4.32251822017041,0.244879885923025,1.33725017508709,0.01,54,52,13.5,4.7655,2.916,186,183,406,0,191,,5,186,2
18,PCR,NH,4.27014053966112,0.248918920637114,1.33493206198028,0.01,39,37,9.75,3.44175,2.106,77,74,388,0,193,,7,186,2
19,PCR,NH,4.33287566073497,0.241952531868118,1.34664477782674,0.01,36,32,9,3.177,1.944,105,100,385,0,193,,9,184,4
20,PCR,NH,4.26336576999211,0.249277495304468,1.35339756385575,0.01,53,49,13.25,4.67725,2.862,82,80,346,0,174,,8,166,4
21,PCR,NH,4.29972144280247,0.247309997686873,1.35397612015915,0.01,22,20,5.5,1.9415,1.188,41,38,279,0,161,,3,158,2
22,PCR,NH,4.26809997017873,0.24580281922274,1.33783068247209,0.01,51,50,12.75,4.50075,2.754,24,24,331,0,178,,2,176,1
23,PCR,NH,4.40543594603371,0.239849605102922,1.3494827529261,0.01,25,23,6.25,2.20625,1.35,37,35,363,0,175,,3,172,2
24,PCR,NH,4.25673940647808,0.250156131999873,1.34777217864492,0.01,52,51,13,4.589,2.808,28,26,444,0,203,,2,201,1
25,PCR,NH,4.30600118776368,0.246289832499123,1.34754331905077,0.01,64,61,16,5.648,3.456,126,122,277,0,178,,11,167,3
26,PCR,NH,4.40056090174095,0.238686183704084,1.35311040079986,0.01,32,31,8,2.824,1.728,51,50,397,0,192,,4,188,1
27,PCR,NH,4.20139976157207,0.252258989979398,1.35251809924099,0.01,49,45,12.25,4.32425,2.646,130,126,441,0,207,,11,196,4
28,PCR,NH,4.22593592544557,0.249661714281556,1.34784105495287,0.01,63,61,15.75,5.55975,3.402,56,52,317,0,169,,5,164,2
29,PCR,NH,4.42599665556186,0.239597111153468,1.34800357941635,0.01,43,42,10.75,3.79475,2.322,65,63,355,0,180,,5,175,1
30,PCR,NH,4.27262837889484,0.249330470818028,1.34843680605634,0.01,67,66,16.75,5.91275,3.618,60,58,427,0,192,,6,186,1
31,PCR,NH,4.31698929270693,0.245969798982601,1.35253851392565,0.01,20,20,5,1.765,1.08,14,14,367,0,180,,1,179,0
32,PCR,NH,4.35766158798101,0.241268846492333,1.35074815720592,0.01,17,15,4.25,1.50025,0.918,34,32,366,0,187,,3,184,2
33,PCR,NH,4.28447013256546,0.244192971589995,1.34694242854603,0.01,58,57,14.5,5.1185,3.132,64,63,335,0,166,,5,161,1
34,PCR,NH,4.39069398950583,0.240391857533026,1.35534773147527,0.01,34,32,8.5,3.0005,1.836,54,50,297,0,167,,5,162,2
35,PCR,NH,4.35747298807192,0.241489638334667,1.36182170260264,0.01,14,14,3.5,1.2355,0.756,0,0,325,0,176,,0,176,0
36,PCR,NH,4.28987100556779,0.246064810163525,1.34471999640337,0.01,34,34,8.5,3.0005,1.836,14,14,301,0,175,,1,174,0
37,PCR,NH,4.26085571140364,0.248944521427051,1.33960946949042,0.01,78,77,19.5,6.8835,4.212,41,38,392,0,190,,4,186,1
38,PCR,NH,4.30893166318425,0.240407534026086,1.35952312063384,0.01,60,56,15,5.295,3.24,94,89,337,0,184,,8,176,4
39,PCR,NH,4.23347599195953,0.249248048559236,1.35126943504507,0.01,54,53,13.5,4.7655,2.916,27,26,316,0,194,,2,192,1
40,PCR,NH,4.44609222139721,0.236839485164265,1.34956401160383,0.01,46,45,11.5,4.0595,2.484,57,57,304,0,176,,5,171,1
41,PCR,NH,4.24121116780639,0.251436225420701,1.3464340468313,0.01,65,64,16.25,5.73625,3.51,24,23,289,0,159,,2,157,1
42,PCR,NH,4.31161128836361,0.244755447081377,1.35889027120135,0.01,43,43,10.75,3.79475,2.322,53,53,365,0,171,,5,166,0
43,PCR,NH,4.2452232792033,0.249355806697157,1.34738232014277,0.01,26,25,6.5,2.2945,1.404,34,31,409,0,186,,3,183,1
44,PCR,NH,4.30400677711177,0.247638138806846,1.34364721949102,0.01,51,50,12.75,4.50075,2.754,26,22,410,0,195,,2,193,1
45,PCR,NH,4.28520213482569,0.245552645228401,1.34661606067059,0.01,59,57,14.75,5.20675,3.186,68,60,384,0,208,,6,202,2
