rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,NH,4.34215881822649,0.242514693722961,1.35141669791007,0.02,10,9,2.5,0.8825,0.54,30,28,736,0,389,,3,386,1
2,PCR,NH,4.43050315201854,0.239616039183352,1.33745118717036,0.02,53,51,13.25,4.67725,2.862,209,206,716,0,367,,19,348,2
3,PCR,NH,4.38426747819602,0.240942549359816,1.34169101186793,0.02,42,40,10.5,3.7065,2.268,116,107,726,0,402,,10,392,2
4,PCR,NH,4.18847065652389,0.252152974573787,1.35996049595559,0.02,37,32,9.25,3.26525,1.998,144,129,696,0,371,,15,356,5
5,PCR,NH,4.39443383212478,0.24206328331138,1.35613679343023,0.02,59,55,14.75,5.20675,3.186,147,137,659,0,364,,14,350,4
6,PCR,NH,4.30415591157669,0.246120650945596,1.35079936768542,0.02,47,43,11.75,4.14775,2.538,144,135,758,0,385,,13,372,4
7,PCR,NH,4.14164739540723,0.254515982093401,1.35456923030543,0.02,66,60,16.5,5.8245,3.564,197,188,786,0,371,,18,353,6
8,PCR,NH,4.18397736846571,0.253088282020204,1.34486984078321,0.02,48,46,12,4.236,2.592,34,26,672,0,373,,3,370,2
9,PCR,NH,4.28357159253901,0.248515923258887,1.35837858272348,0.02,61,56,15.25,5.38325,3.294,164,156,787,0,383,,15,368,5
10,PCR,NH,4.27289686464972,0.249398471334952,1.35005666947403,0.02,44,41,11,3.883,2.376,89,81,645,0,355,,8,347,3
11,PCR,NH,4.26653289150188,0.248577862042036,1.35293363309627,0.02,49,42,12.25,4.32425,2.646,179,167,775,0,381,,14,367,7
12,PCR,NH,4.44482981600743,0.238714745150017,1.33104537081845,0.02,31,29,7.75,2.73575,1.674,113,110,718,0,364,,10,354,2
13,PCR,NH,4.21541567798473,0.253578732167707,1.34810847686604,0.02,6,5,1.5,0.5295,0.324,24,24,745,0,376,,3,373,1
14,PCR,NH,4.35548178864744,0.244769592322025,1.34948897262053,0.02,29,27,7.25,2.55925,1.566,39,37,740,0,387,,3,384,2
15,PCR,NH,4.28599565348837,0.246803154225456,1.34594806496856,0.02,43,42,10.75,3.79475,2.322,42,41,729,0,383,,4,379,1
16,PCR,NH,4.30569657706978,0.244255401583787,1.35642027441149,0.02,59,55,14.75,5.20675,3.186,151,145,725,0,368,,15,353,4
17,PCR,NH,4.21706816886718,0.252663266375424,1.35115366205112,0.02,56,51,14,4.942,3.024,99,84,632,0,376,,9,367,5
18,PCR,NH,4.40438961505401,0.240741033503402,1.35003501723871,0.02,6,5,1.5,0.5295,0.324,34,29,664,0,362,,3,359,1
19,PCR,NH,4.18578612762457,0.252989654571309,1.35810116676632,0.02,28,25,7,2.471,1.512,108,104,779,0,374,,9,365,3
20,PCR,NH,4.35936042928266,0.241663514301812,1.34054434249076,0.02,48,46,12,4.236,2.592,88,87,652,0,337,,7,330,2
21,PCR,NH,4.40973521306982,0.237696041943935,1.36370131626038,0.02,41,37,10.25,3.61825,2.214,155,151,712,0,364,,14,350,4
22,PCR,NH,4.2444652435273,0.250154016235812,1.35405954886043,0.02,24,21,6,2.118,1.296,43,40,779,0,370,,5,365,3
23,PCR,NH,4.17240986837083,0.255665876727212,1.34736364858621,0.02,55,48,13.75,4.85375,2.97,152,140,727,0,386,,13,373,7
24,PCR,NH,4.24743918761205,0.25064265263733,1.35539947631561,0.02,16,15,4,1.412,0.864,6,5,712,0,373,,1,372,1
25,PCR,NH,4.33411329375847,0.241794462843824,1.34709163837707,0.02,66,58,16.5,5.8245,3.564,140,128,623,0,370,,12,358,8
26,PCR,NH,4.35176017728247,0.24258028612225,1.34225441968636,0.02,44,38,11,3.883,2.376,190,179,794,0,394,,16,378,6
27,PCR,NH,4.33654088389387,0.244134692780265,1.36140400898472,0.02,55,48,13.75,4.85375,2.97,177,163,690,0,378,,16,362,7
28,PCR,NH,4.44702632701356,0.238892486051281,1.35108594151633,0.02,49,44,12.25,4.32425,2.646,178,166,681,0,364,,17,347,5
29,PCR,NH,4.41943430194889,0.239807868378866,1.33984716955738,0.02,18,14,4.5,1.5885,0.972,78,69,699,0,387,,7,380,4
30,PCR,NH,4.31330939474018,0.244762726456077,1.36026082504356,0.02,42,36,10.5,3.7065,2.268,101,85,639,0,363,,9,354,6
31,PCR,NH,4.10109644259308,0.257994372928103,1.34195270689209,0.02,68,62,17,6.001,3.672,115,103,683,0,370,,10,360,6
32,PCR,NH,4.32822068307576,0.246293331193788,1.34920273752708,0.02,50,45,12.5,4.4125,2.7,117,100,735,0,367,,11,356,5
