rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,dorm,4.27957464930026,0.247392968786803,1.35179226504149,0.1,1068,738,41.652,9.913176,0.1068,8413,7707,94483,0,57350,,983,56367,330
2,PCR,dorm,4.31571484280057,0.245167495645393,1.35046887764279,0.1,1007,676,39.273,9.346974,0.1007,7267,6601,94939,0,57308,,875,56433,331
3,PCR,dorm,4.29552440434863,0.246369966374602,1.35121536354069,0.1,904,614,35.256,8.390928,0.0904,6939,6396,95482,0,57168,,794,56374,290
4,PCR,dorm,4.28771532404875,0.246726379375731,1.35000031532199,0.1,1088,755,42.432,10.098816,0.1088,7956,7347,95094,0,57149,,951,56198,333
5,PCR,dorm,4.27364852153542,0.247753677315327,1.34818107241272,0.1,1142,798,44.538,10.600044,0.1142,8445,7756,94436,0,56737,,972,55765,343
6,PCR,dorm,4.30609720192294,0.24537114233837,1.34936630702928,0.1,915,619,35.685,8.49303,0.0915,6808,6209,94844,0,57306,,787,56519,296
7,PCR,dorm,4.30839395750385,0.245375639415345,1.34817677768271,0.1,1096,764,42.744,10.173072,0.1096,8038,7336,94138,0,57075,,946,56129,332
8,PCR,dorm,4.33847532987373,0.243823081101552,1.35167398463112,0.1,917,633,35.763,8.511594,0.0917,7053,6463,95980,0,57490,,828,56662,284
9,PCR,dorm,4.27071012820077,0.247606310724639,1.34832645627213,0.1,1088,722,42.432,10.098816,0.1088,8319,7587,94321,0,56646,,959,55687,366
10,PCR,dorm,4.30411213736792,0.245780607741736,1.35085494422558,0.1,1235,835,48.165,11.46327,0.1235,9149,8409,95311,0,57206,,1065,56141,400
11,PCR,dorm,4.2962519199745,0.24632553225271,1.35089510985825,0.1,1073,721,41.847,9.959586,0.1073,7824,7172,94563,0,57319,,914,56405,347
12,PCR,dorm,4.31717396422245,0.244952561820101,1.34950199358944,0.1,1159,760,45.201,10.757838,0.1159,9056,8280,95522,0,57623,,1086,56537,399
13,PCR,dorm,4.30558455024562,0.245209840987097,1.34931716567739,0.1,860,573,33.54,7.98252,0.086,6528,6002,95209,0,57375,,750,56625,286
14,PCR,dorm,4.31697366106367,0.245329913459167,1.35152130273082,0.1,1018,684,39.702,9.449076,0.1018,7649,7000,95274,0,57421,,898,56523,334
15,PCR,dorm,4.31009351989546,0.245309948627881,1.35359799103372,0.1,958,629,37.362,8.892156,0.0958,7516,6889,94864,0,57490,,881,56609,329
16,PCR,dorm,4.29826103671739,0.246255971639234,1.35154310782045,0.1,1173,770,45.747,10.887786,0.1173,9289,8503,95054,0,57380,,1077,56303,403
17,PCR,dorm,4.29744034799085,0.245983609608447,1.34989469230297,0.1,1028,708,40.092,9.541896,0.1028,7994,7366,95958,0,57324,,946,56378,320
18,PCR,dorm,4.31513566224036,0.244811205575087,1.349552264854,0.1,1085,713,42.315,10.07097,0.1085,8594,7900,96015,0,57290,,1025,56265,372
19,PCR,dorm,4.32167122155342,0.244884128164232,1.35224181180139,0.1,1012,706,39.468,9.393384,0.1012,7165,6541,95888,0,57181,,855,56326,306
20,PCR,dorm,4.28181833485975,0.247272654255699,1.3516845499021,0.1,1169,825,45.591,10.850658,0.1169,8496,7818,96387,0,57877,,1022,56855,344
21,PCR,dorm,4.26606904964199,0.247950286410892,1.35093257647527,0.1,1026,676,40.014,9.523332,0.1026,8381,7695,94777,0,57237,,951,56286,350
22,PCR,dorm,4.31329502776488,0.245177502958752,1.35275017654774,0.1,909,621,35.451,8.437338,0.0909,7224,6672,95670,0,57378,,826,56552,288
23,PCR,dorm,4.25890772462233,0.248409362063341,1.35222561196129,0.1,1165,799,45.435,10.81353,0.1165,8544,7860,95250,0,57537,,984,56553,366
24,PCR,dorm,4.29203942948985,0.246516961720703,1.34846628066152,0.1,1081,729,42.159,10.033842,0.1081,8631,7980,94876,0,57016,,1005,56011,352
25,PCR,dorm,4.30064131107783,0.245409970823434,1.35048262393506,0.1,943,600,36.777,8.752926,0.0943,6994,6333,95590,0,57311,,816,56495,343
26,PCR,dorm,4.30047620118273,0.246168615128949,1.34865101913631,0.1,1114,746,43.446,10.340148,0.1114,8441,7708,95096,0,56974,,980,55994,368
27,PCR,dorm,4.3199333705611,0.244850521973546,1.35204261459421,0.1,1012,686,39.468,9.393384,0.1012,8129,7477,95421,0,57563,,969,56594,326
28,PCR,dorm,4.31249210830759,0.245160007423681,1.35063624050912,0.1,991,665,38.649,9.198462,0.0991,8033,7423,94507,0,57274,,931,56343,326
29,PCR,dorm,4.28994589035355,0.246522930863318,1.34691671639319,0.1,1284,880,50.076,11.918088,0.1284,10289,9508,96143,0,57526,,1190,56336,404
30,PCR,dorm,4.28799468576428,0.246599965686653,1.34708831473941,0.1,1314,904,51.246,12.196548,0.1314,9876,9107,94863,0,57389,,1134,56255,410
31,PCR,dorm,4.28846718591092,0.246334754536167,1.3478912242727,0.1,1054,713,41.106,9.783228,0.1054,8064,7407,94797,0,57302,,948,56354,341
32,PCR,dorm,4.28091653301389,0.246999085753593,1.35004168866566,0.1,1071,725,41.769,9.941022,0.1071,8303,7676,96505,0,57617,,974,56643,346
33,PCR,dorm,4.29452503013991,0.246513302355215,1.34923819578213,0.1,1134,773,44.226,10.525788,0.1134,8259,7592,95690,0,57523,,976,56547,361
34,PCR,dorm,4.33750793423736,0.243711109600806,1.34983927272466,0.1,1123,784,43.797,10.423686,0.1123,7868,7223,95213,0,57244,,924,56320,339
35,PCR,dorm,4.3085373799619,0.245228225364471,1.35163671663829,0.1,1143,756,44.577,10.609326,0.1143,8215,7509,95013,0,57142,,988,56154,387
36,PCR,dorm,4.31155134267243,0.244919231685441,1.34887433947193,0.1,955,665,37.245,8.86431,0.0955,7240,6730,94978,0,57274,,852,56422,290
37,PCR,dorm,4.29826409858128,0.245918432006107,1.35238099688917,0.1,964,659,37.596,8.947848,0.0964,7603,7024,95033,0,57225,,852,56373,305
38,PCR,dorm,4.28395440053977,0.246683935505888,1.34781577416436,0.1,1132,743,44.148,10.507224,0.1132,8984,8252,95040,0,57327,,1044,56283,389
39,PCR,dorm,4.28595831488406,0.246842226353836,1.34598578029629,0.1,1005,675,39.195,9.32841,0.1005,7681,7041,95186,0,57295,,894,56401,330
40,PCR,dorm,4.31692485245728,0.245014408648385,1.35043564598163,0.1,651,441,25.389,6.042582,0.0651,4882,4485,95686,0,57379,,586,56793,210
41,PCR,dorm,4.28589053607834,0.246810918869594,1.3481257348193,0.1,1064,718,41.496,9.876048,0.1064,8163,7488,94521,0,57437,,942,56495,346
42,PCR,dorm,4.35049024990001,0.243111440252531,1.35296146581721,0.1,935,628,36.465,8.67867,0.0935,6867,6290,95121,0,57464,,819,56645,307
43,PCR,dorm,4.27993850948629,0.247254474379494,1.35031930139062,0.1,1144,798,44.616,10.618608,0.1144,8782,8093,96744,0,57768,,1037,56731,346
44,PCR,dorm,4.28058961926923,0.247514703983515,1.34987111957679,0.1,1017,687,39.663,9.439794,0.1017,7944,7291,94511,0,57053,,926,56127,330
45,PCR,dorm,4.28434434235185,0.246718952254733,1.35120635816034,0.1,1007,665,39.273,9.346974,0.1007,7046,6397,95400,0,57066,,809,56257,341
46,PCR,dorm,4.31419488475798,0.245198921623031,1.34778329192561,0.1,835,567,32.565,7.75047,0.0835,6593,6061,95343,0,57270,,756,56514,268
47,PCR,dorm,4.28231233146147,0.24715863604067,1.35260874144298,0.1,1217,825,47.463,11.296194,0.1217,9307,8589,95654,0,57310,,1082,56228,392
48,PCR,dorm,4.32256220854225,0.2444761521414,1.35051596389126,0.1,1024,685,39.936,9.504768,0.1024,7894,7255,94346,0,57330,,954,56376,339
49,PCR,dorm,4.29921036668962,0.245889749334977,1.35072201091519,0.1,1077,729,42.003,9.996714,0.1077,8432,7745,96139,0,57894,,1001,56893,348
50,PCR,dorm,4.29017834131735,0.246454390810717,1.35031185697602,0.1,1020,681,39.78,9.46764,0.102,8708,8004,95948,0,57508,,992,56516,339
51,PCR,dorm,4.29236195521791,0.246323305042687,1.35133314444757,0.1,1138,757,44.382,10.562916,0.1138,8554,7830,94486,0,57243,,1014,56229,381
52,PCR,dorm,4.26944416176979,0.248012603229364,1.35101171254637,0.1,1207,797,47.073,11.203374,0.1207,9547,8723,95269,0,57369,,1109,56260,410
53,PCR,dorm,4.28411249743291,0.247054338476689,1.35064899610524,0.1,1119,759,43.641,10.386558,0.1119,8431,7729,95707,0,57505,,1001,56504,360
