rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,dorm,4.31224213726251,0.245278229915764,1.34859987708398,0.01,1524,1460,59.436,14.145768,0.1524,1783,1660,11085,0,5746,,147,5599,64
2,PCR,dorm,4.30660538439568,0.245325725054877,1.35206257609806,0.01,1742,1667,67.938,16.169244,0.1742,2314,2158,11015,0,5713,,197,5516,75
3,PCR,dorm,4.30125957350625,0.245958937862269,1.3497297582135,0.01,1723,1670,67.197,15.992886,0.1723,1971,1860,10833,0,5748,,169,5579,53
4,PCR,dorm,4.26905398777257,0.247558957936654,1.34876127159241,0.01,1748,1670,68.172,16.224936,0.1748,1885,1730,10921,0,5629,,163,5466,78
5,PCR,dorm,4.31852619665991,0.244948886387446,1.34955369922304,0.01,1648,1589,64.272,15.296736,0.1648,1820,1691,11254,0,5680,,162,5518,59
6,PCR,dorm,4.29710052691029,0.246275757136025,1.35139331761796,0.01,1714,1651,66.846,15.909348,0.1714,1893,1766,11539,0,5805,,169,5636,63
7,PCR,dorm,4.31221729978093,0.24530696592148,1.34868317914838,0.01,1712,1637,66.768,15.890784,0.1712,1955,1840,11181,0,5768,,176,5592,75
8,PCR,dorm,4.31900985832889,0.244827840338583,1.35028585352154,0.01,1559,1489,60.801,14.470638,0.1559,1989,1867,10753,0,5649,,167,5482,70
9,PCR,dorm,4.30245099881458,0.245555024894523,1.35329908561103,0.01,1654,1592,64.506,15.352428,0.1654,2046,1919,11280,0,5812,,178,5634,62
10,PCR,dorm,4.29031076353833,0.246751155622615,1.34876689631689,0.01,1506,1445,58.734,13.978692,0.1506,1781,1664,11610,0,5896,,159,5737,61
11,PCR,dorm,4.32235874596257,0.244643938959799,1.34976983933692,0.01,1719,1662,67.041,15.955758,0.1719,1875,1781,11204,0,5777,,163,5614,57
12,PCR,dorm,4.29952333883813,0.246007916234814,1.34873707863258,0.01,1758,1690,68.562,16.317756,0.1758,2257,2137,11430,0,5864,,196,5668,68
13,PCR,dorm,4.30140138563208,0.245809890095444,1.34958569399279,0.01,1628,1580,63.492,15.111096,0.1628,1817,1716,10929,0,5685,,162,5523,48
14,PCR,dorm,4.29803688365233,0.246452310276327,1.34996205426992,0.01,1765,1695,68.835,16.38273,0.1765,2240,2097,11063,0,5760,,197,5563,70
15,PCR,dorm,4.30294801240012,0.245698664030077,1.35079168118956,0.01,1618,1551,63.102,15.018276,0.1618,1951,1845,10862,0,5683,,167,5516,67
16,PCR,dorm,4.27400613834131,0.247261813575915,1.35169032654829,0.01,1710,1644,66.69,15.87222,0.171,2156,2032,11024,0,5694,,188,5506,66
17,PCR,dorm,4.32531552226269,0.244372876802021,1.3511229144955,0.01,1605,1537,62.595,14.89761,0.1605,2159,2018,11129,0,5713,,187,5526,68
18,PCR,dorm,4.32268091681054,0.244600807625714,1.35122692600407,0.01,1570,1494,61.23,14.57274,0.157,2036,1891,10950,0,5750,,182,5568,76
19,PCR,dorm,4.27748521272692,0.247258211855143,1.3507032582431,0.01,1575,1506,61.425,14.61915,0.1575,2119,2013,11282,0,5808,,186,5622,69
20,PCR,dorm,4.30229029584511,0.245830806910671,1.34977283051271,0.01,1723,1654,67.197,15.992886,0.1723,2097,1963,11107,0,5739,,187,5552,69
21,PCR,dorm,4.31156455862967,0.245284081877617,1.34839572662115,0.01,1664,1602,64.896,15.445248,0.1664,1936,1824,11651,0,5831,,167,5664,62
22,PCR,dorm,4.32481734300853,0.244573175210278,1.35004442317943,0.01,1643,1578,64.077,15.250326,0.1643,1861,1728,11284,0,5688,,161,5527,65
23,PCR,dorm,4.29478312513348,0.24610093072373,1.35335274528965,0.01,1559,1493,60.801,14.470638,0.1559,1763,1635,10966,0,5629,,153,5476,66
24,PCR,dorm,4.29202964233643,0.246236067380366,1.35052089274497,0.01,1696,1629,66.144,15.742272,0.1696,2223,2085,11139,0,5724,,190,5534,67
25,PCR,dorm,4.30358495297007,0.245955219600675,1.35081050858177,0.01,1600,1533,62.4,14.8512,0.16,1935,1818,11065,0,5619,,169,5450,67
26,PCR,dorm,4.29305649293285,0.247054557390107,1.34718646989468,0.01,1640,1573,63.96,15.22248,0.164,2082,1971,11223,0,5748,,177,5571,67
27,PCR,dorm,4.27707824108089,0.247121526580558,1.34907036739798,0.01,1638,1572,63.882,15.203916,0.1638,2119,1994,10793,0,5722,,186,5536,66
28,PCR,dorm,4.2984897112101,0.245789341149571,1.35114936554051,0.01,1565,1501,61.035,14.52633,0.1565,1920,1800,11162,0,5738,,166,5572,64
29,PCR,dorm,4.30910088746944,0.245420761151285,1.350251454077,0.01,1680,1599,65.52,15.59376,0.168,2354,2203,11483,0,5803,,208,5595,81
30,PCR,dorm,4.2987119873787,0.245759394818104,1.34909722459456,0.01,1559,1485,60.801,14.470638,0.1559,2379,2245,11159,0,5766,,200,5566,74
31,PCR,dorm,4.29144507389805,0.246905360132483,1.35118938813361,0.01,1647,1579,64.233,15.287454,0.1647,2063,1932,11428,0,5738,,180,5558,68
32,PCR,dorm,4.3172470339864,0.245147304803107,1.35080412829803,0.01,1598,1537,62.322,14.832636,0.1598,1949,1833,10665,0,5571,,168,5403,61
33,PCR,dorm,4.30478274223296,0.24609709140327,1.34765374008378,0.01,1685,1629,65.715,15.64017,0.1685,1661,1570,11633,0,5799,,155,5644,56
34,PCR,dorm,4.2982622256075,0.246124666321918,1.34914737661147,0.01,1700,1632,66.3,15.7794,0.17,1979,1859,11177,0,5760,,180,5580,68
35,PCR,dorm,4.28547791344089,0.246967872514824,1.35024537452665,0.01,1647,1585,64.233,15.287454,0.1647,1990,1850,11076,0,5721,,172,5549,62
36,PCR,dorm,4.29353819507387,0.245984175519996,1.35111411997381,0.01,1663,1594,64.857,15.435966,0.1663,2100,1977,10790,0,5718,,185,5533,69
37,PCR,dorm,4.30397590230788,0.245831491935832,1.35021510823284,0.01,1714,1634,66.846,15.909348,0.1714,2176,2027,11010,0,5800,,186,5614,80
38,PCR,dorm,4.28267491875073,0.246746658405173,1.34857043389353,0.01,1656,1591,64.584,15.370992,0.1656,1745,1629,11165,0,5735,,153,5582,65
39,PCR,dorm,4.28975433185252,0.246701565374073,1.34867864712625,0.01,1738,1675,67.782,16.132116,0.1738,1915,1779,10913,0,5608,,172,5436,63
40,PCR,dorm,4.31673466244402,0.245176795454199,1.35007172272177,0.01,1664,1589,64.896,15.445248,0.1664,1999,1857,11120,0,5773,,176,5597,75
41,PCR,dorm,4.27793876006886,0.247648308771771,1.35104822492333,0.01,1524,1447,59.436,14.145768,0.1524,1994,1828,11194,0,5728,,178,5550,77
42,PCR,dorm,4.31066024392638,0.24492792215903,1.35118551931016,0.01,1681,1613,65.559,15.603042,0.1681,1947,1820,11291,0,5802,,171,5631,68
43,PCR,dorm,4.30546342730667,0.245905567827167,1.3498915019852,0.01,1525,1457,59.475,14.15505,0.1525,1836,1693,10762,0,5652,,164,5488,68
44,PCR,dorm,4.29738171066449,0.246078772654881,1.34881005330149,0.01,1687,1622,65.793,15.658734,0.1687,2036,1905,10604,0,5603,,175,5428,65
45,PCR,dorm,4.29423883588761,0.246047839395967,1.35056833575506,0.01,1609,1546,62.751,14.934738,0.1609,2197,2048,10826,0,5751,,191,5560,63
46,PCR,dorm,4.32238873759817,0.244429567901659,1.35152907322664,0.01,1612,1539,62.868,14.962584,0.1612,2204,2087,10945,0,5718,,190,5528,73
47,PCR,dorm,4.32619334484108,0.244140107059322,1.3545697277426,0.01,1705,1642,66.495,15.82581,0.1705,1899,1778,11405,0,5751,,165,5586,63
48,PCR,dorm,4.30806384637677,0.245633334697571,1.35319274735096,0.01,1624,1577,63.336,15.073968,0.1624,1703,1609,11310,0,5821,,145,5676,47
49,PCR,dorm,4.33416580446189,0.243738418296584,1.34871465599892,0.01,1682,1621,65.598,15.612324,0.1682,1871,1757,10987,0,5789,,162,5627,61
50,PCR,dorm,4.30702469380852,0.245237694820711,1.3523445406259,0.01,1593,1520,62.127,14.786226,0.1593,2183,2037,11321,0,5759,,185,5574,73
51,PCR,dorm,4.31115819151612,0.245229183427339,1.35141922102999,0.01,1773,1711,69.147,16.456986,0.1773,2006,1860,11092,0,5720,,173,5547,62
52,PCR,dorm,4.29490511070958,0.246659677549459,1.35150327806793,0.01,1626,1565,63.414,15.092532,0.1626,2057,1930,11975,0,5827,,169,5658,61
53,PCR,dorm,4.31466283648411,0.244552599739733,1.34876915982725,0.01,1762,1689,68.718,16.354884,0.1762,2122,2008,11104,0,5738,,180,5558,73
54,PCR,dorm,4.31204407834096,0.245255580495485,1.35033824198646,0.01,1716,1659,66.924,15.927912,0.1716,1969,1851,11265,0,5811,,173,5638,57
55,PCR,dorm,4.28371580921152,0.246685841871734,1.3523147596437,0.01,1733,1672,67.587,16.085706,0.1733,1774,1665,11405,0,5768,,157,5611,61
56,PCR,dorm,4.31156954932912,0.245190674503864,1.35079110141835,0.01,1541,1492,60.099,14.303562,0.1541,1941,1865,11489,0,5748,,164,5584,49
57,PCR,dorm,4.31362563588594,0.245342260105694,1.35015259687135,0.01,1657,1587,64.623,15.380274,0.1657,2139,2034,11225,0,5734,,175,5559,70
58,PCR,dorm,4.31749406820525,0.244969119507894,1.35207568661693,0.01,1655,1577,64.545,15.36171,0.1655,2427,2289,11082,0,5660,,205,5455,78
59,PCR,dorm,4.30170332552269,0.245777941362807,1.35127638754856,0.01,1675,1602,65.325,15.54735,0.1675,2154,2024,10994,0,5786,,186,5600,73
60,PCR,dorm,4.29044119228424,0.246594898862823,1.3494164573087,0.01,1666,1589,64.974,15.463812,0.1666,1986,1867,11727,0,5958,,184,5774,77
61,PCR,dorm,4.3192615034327,0.244804001851503,1.34956607314614,0.01,1776,1703,69.264,16.484832,0.1776,2070,1934,10974,0,5690,,180,5510,73
62,PCR,dorm,4.29640578092933,0.246131658331372,1.35152984295666,0.01,1612,1539,62.868,14.962584,0.1612,1933,1804,10835,0,5661,,169,5492,73
63,PCR,dorm,4.26790941846448,0.247962973330095,1.35151179065604,0.01,1594,1534,62.166,14.795508,0.1594,1782,1652,11341,0,5770,,159,5611,60
64,PCR,dorm,4.29490219830609,0.246299061366088,1.3494210413399,0.01,1686,1605,65.754,15.649452,0.1686,2146,1993,11341,0,5646,,190,5456,81
