rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,dorm,4.26053318613083,0.247936165764762,1.35126712073743,0.05,1350,1101,52.65,12.5307,0.135,6375,5945,52570,0,28851,,645,28206,249
2,PCR,dorm,4.30490390635345,0.245715693562523,1.34841910416309,0.05,1511,1250,58.929,14.025102,0.1511,7242,6742,51945,0,28665,,717,27948,261
3,PCR,dorm,4.32576701686381,0.244084611785281,1.34831263628513,0.05,1470,1206,57.33,13.64454,0.147,6958,6489,51328,0,28516,,701,27815,264
4,PCR,dorm,4.30317711488583,0.245552888705949,1.34795749235708,0.05,1319,1069,51.441,12.242958,0.1319,6888,6387,52133,0,28737,,685,28052,250
5,PCR,dorm,4.30082174965902,0.246273033342272,1.34815486692682,0.05,1450,1180,56.55,13.4589,0.145,7331,6752,51474,0,28556,,731,27825,270
6,PCR,dorm,4.27774161234621,0.247100121248762,1.35078053086216,0.05,1298,1033,50.622,12.048036,0.1298,6967,6415,52459,0,29021,,705,28316,265
7,PCR,dorm,4.33463752896912,0.243812545960706,1.34707306563025,0.05,1261,1048,49.179,11.704602,0.1261,6301,5899,52176,0,28897,,631,28266,213
8,PCR,dorm,4.3097231629804,0.245137073347682,1.3511863778208,0.05,1392,1114,54.288,12.920544,0.1392,7180,6646,52201,0,28560,,711,27849,278
9,PCR,dorm,4.31619399633692,0.244894912363394,1.3513895673578,0.05,1398,1152,54.522,12.976236,0.1398,6411,5948,51163,0,28616,,633,27983,246
10,PCR,dorm,4.25760388494579,0.248562454628236,1.35143232234747,0.05,1524,1227,59.436,14.145768,0.1524,7508,6960,51507,0,28613,,760,27853,297
11,PCR,dorm,4.29921451273234,0.245945087116769,1.34927726297194,0.05,1264,1026,49.296,11.732448,0.1264,6353,5881,51692,0,28571,,634,27937,238
12,PCR,dorm,4.31913417872741,0.244733785406116,1.35072578858229,0.05,1301,1090,50.739,12.075882,0.1301,5620,5193,52219,0,28707,,562,28145,211
13,PCR,dorm,4.29328852380456,0.246505770174842,1.34978805925934,0.05,1283,1036,50.037,11.908806,0.1283,6003,5570,53069,0,28856,,615,28241,247
14,PCR,dorm,4.31253526651714,0.245364905422027,1.35067742826938,0.05,1426,1158,55.614,13.236132,0.1426,7117,6607,52497,0,28803,,715,28088,268
15,PCR,dorm,4.26786025820908,0.247708688790657,1.34787216893586,0.05,1185,946,46.215,10.99917,0.1185,5969,5508,51863,0,28670,,611,28059,239
16,PCR,dorm,4.29287042038895,0.246420982183733,1.34903695229093,0.05,1215,979,47.385,11.27763,0.1215,6037,5538,51910,0,28564,,596,27968,236
17,PCR,dorm,4.26733488918266,0.247825624420427,1.35224506859985,0.05,1268,1038,49.452,11.769576,0.1268,6064,5611,52422,0,28860,,624,28236,230
18,PCR,dorm,4.32452271347829,0.24418305610215,1.3491914387163,0.05,1438,1150,56.082,13.347516,0.1438,7418,6876,52388,0,28714,,747,27967,288
19,PCR,dorm,4.28179149469764,0.246962692804881,1.34957553353622,0.05,1339,1073,52.221,12.428598,0.1339,7168,6670,51287,0,28651,,699,27952,266
20,PCR,dorm,4.28511729760622,0.246893580192729,1.3511966702325,0.05,1431,1167,55.809,13.282542,0.1431,7469,6985,51776,0,28419,,739,27680,264
21,PCR,dorm,4.31130782972312,0.245308460411697,1.34850964061781,0.05,1291,1037,50.349,11.983062,0.1291,6127,5655,51498,0,28422,,612,27810,254
22,PCR,dorm,4.30412804036203,0.245724281425784,1.34582366767169,0.05,1246,1012,48.594,11.565372,0.1246,6179,5727,51245,0,28673,,617,28056,234
23,PCR,dorm,4.27464960017687,0.247471523367812,1.35006091782107,0.05,1427,1160,55.653,13.245414,0.1427,7159,6647,52040,0,28689,,708,27981,267
24,PCR,dorm,4.3215723730411,0.244707935559189,1.34841931020553,0.05,1300,1074,50.7,12.0666,0.13,6212,5754,51345,0,28542,,619,27923,226
25,PCR,dorm,4.31323557117459,0.245171723220623,1.35053921768318,0.05,1388,1137,54.132,12.883416,0.1388,6687,6227,51849,0,28670,,667,28003,251
26,PCR,dorm,4.297029060843,0.24637998248558,1.3512839216585,0.05,1422,1156,55.458,13.199004,0.1422,6910,6389,51873,0,28732,,689,28043,266
27,PCR,dorm,4.28704103530979,0.246852585261254,1.34780684172528,0.05,1320,1067,51.48,12.25224,0.132,6510,6059,51652,0,28582,,659,27923,253
28,PCR,dorm,4.32390308222082,0.244432219410749,1.3501021822075,0.05,1288,1034,50.232,11.955216,0.1288,6446,5986,51691,0,28655,,648,28007,254
29,PCR,dorm,4.31559442010674,0.244568652377666,1.35087914960647,0.05,1226,961,47.814,11.379732,0.1226,6333,5805,51709,0,28275,,628,27647,265
30,PCR,dorm,4.2814336447607,0.247062824612945,1.35044158089751,0.05,1481,1201,57.759,13.746642,0.1481,7494,6959,51749,0,28757,,767,27990,280
31,PCR,dorm,4.31477829043311,0.245053274533251,1.35209317308451,0.05,1485,1229,57.915,13.78377,0.1485,7531,7037,52236,0,28736,,747,27989,256
32,PCR,dorm,4.3126191510768,0.245550292526219,1.34851675822324,0.05,1469,1204,57.291,13.635258,0.1469,7177,6660,51988,0,28691,,709,27982,265
33,PCR,dorm,4.29477030915705,0.246307857771374,1.35134892385032,0.05,1320,1067,51.48,12.25224,0.132,6617,6088,51476,0,28753,,644,28109,253
34,PCR,dorm,4.29486436174466,0.246380255948935,1.35336545857452,0.05,1385,1138,54.015,12.85557,0.1385,6866,6368,51469,0,28544,,678,27866,247
35,PCR,dorm,4.29273420955638,0.245679939707127,1.35181600949377,0.05,1320,1053,51.48,12.25224,0.132,6481,5953,51931,0,28701,,656,28045,267
36,PCR,dorm,4.30109338693466,0.246297933613313,1.34757823987902,0.05,1470,1171,57.33,13.64454,0.147,7655,7111,51947,0,28601,,768,27833,299
37,PCR,dorm,4.28274837253107,0.247063225427481,1.35265345614011,0.05,1475,1229,57.525,13.69095,0.1475,7023,6546,52052,0,28699,,704,27995,246
38,PCR,dorm,4.33220595994071,0.24374461489144,1.35089911295695,0.05,1334,1092,52.026,12.382188,0.1334,6425,5953,52498,0,28779,,652,28127,242
39,PCR,dorm,4.32278840789778,0.244411288168155,1.34945992913142,0.05,1428,1161,55.692,13.254696,0.1428,7124,6633,53030,0,28886,,730,28156,267
40,PCR,dorm,4.33080193582723,0.243868082776966,1.35144516766278,0.05,1393,1137,54.327,12.929826,0.1393,7019,6506,51917,0,28806,,700,28106,256
41,PCR,dorm,4.32228321372543,0.244600044276856,1.34964168327047,0.05,1354,1117,52.806,12.567828,0.1354,6270,5788,51885,0,28590,,630,27960,237
42,PCR,dorm,4.29055718949351,0.246372005669405,1.35006302676352,0.05,1336,1071,52.104,12.400752,0.1336,6485,5996,52075,0,28796,,640,28156,265
43,PCR,dorm,4.30056500802415,0.245957267651807,1.35297278926477,0.05,1248,1002,48.672,11.583936,0.1248,6697,6270,52401,0,28734,,669,28065,246
44,PCR,dorm,4.28999628062657,0.246461996393589,1.3506208581241,0.05,1437,1195,56.043,13.338234,0.1437,7006,6540,52069,0,28810,,699,28111,242
45,PCR,dorm,4.32292746877496,0.244753850924841,1.35179918542844,0.05,1230,1003,47.97,11.41686,0.123,5696,5266,52324,0,28600,,566,28034,227
46,PCR,dorm,4.28237458832558,0.246975542912952,1.34946839374306,0.05,1312,1080,51.168,12.177984,0.1312,6971,6500,51484,0,28755,,687,28068,232
47,PCR,dorm,4.27234591568937,0.247789662711909,1.35220972043846,0.05,1293,1036,50.427,12.001626,0.1293,6948,6430,51825,0,28741,,670,28071,257
48,PCR,dorm,4.2801108798335,0.247334806143533,1.34965505771308,0.05,1427,1170,55.653,13.245414,0.1427,7032,6501,51795,0,28531,,696,27835,257
49,PCR,dorm,4.27301522679696,0.247734885164216,1.34975834716227,0.05,1375,1139,53.625,12.76275,0.1375,6352,5897,52177,0,28646,,625,28021,236
50,PCR,dorm,4.28364967694667,0.246561272311116,1.34844751381533,0.05,1332,1103,51.948,12.363624,0.1332,6650,6249,51789,0,28609,,653,27956,229
51,PCR,dorm,4.29441622686973,0.246107856734878,1.34769800521316,0.05,1342,1074,52.338,12.456444,0.1342,7069,6567,51789,0,28552,,702,27850,268
52,PCR,dorm,4.30846221977381,0.245620475268984,1.34879922368264,0.05,1323,1066,51.597,12.280086,0.1323,6908,6403,51724,0,28604,,690,27914,257
53,PCR,dorm,4.30947422805905,0.245397280447715,1.35223716982467,0.05,1445,1187,56.355,13.41249,0.1445,6580,6097,52326,0,29019,,663,28356,258
54,PCR,dorm,4.30019715307654,0.245775968415777,1.34735144176931,0.05,1506,1217,58.734,13.978692,0.1506,7092,6517,52134,0,28628,,716,27912,289
55,PCR,dorm,4.28553058407635,0.24696117340004,1.34814907796512,0.05,1284,1040,50.076,11.918088,0.1284,6168,5676,51243,0,28533,,610,27923,244
56,PCR,dorm,4.29099886669437,0.246491966971435,1.35283289345551,0.05,1436,1170,56.004,13.328952,0.1436,7380,6828,51676,0,28812,,740,28072,266
57,PCR,dorm,4.29530491301843,0.246368500246173,1.34940153752857,0.05,1397,1178,54.483,12.966954,0.1397,6559,6105,52201,0,28813,,659,28154,219
58,PCR,dorm,4.2971735912829,0.245609186938225,1.34612819165792,0.05,1442,1173,56.238,13.384644,0.1442,6594,6048,51617,0,28568,,658,27910,269
59,PCR,dorm,4.32100772196532,0.244516164208124,1.34698052067729,0.05,1137,931,44.343,10.553634,0.1137,4749,4363,51367,0,28620,,471,28149,200
60,PCR,dorm,4.29190344992564,0.246520930707949,1.35035654344117,0.05,1385,1136,54.015,12.85557,0.1385,7112,6564,51876,0,28469,,712,27757,249
61,PCR,dorm,4.30110096928906,0.24624294691424,1.3502322963425,0.05,1243,1012,48.477,11.537526,0.1243,6170,5736,52521,0,28597,,620,27977,231
62,PCR,dorm,4.29501085413639,0.24595896368122,1.34777329088025,0.05,1509,1229,58.851,14.006538,0.1509,7376,6824,51975,0,28622,,756,27866,280
63,PCR,dorm,4.32544059438326,0.243574716781572,1.34837018735441,0.05,1400,1139,54.6,12.9948,0.14,6473,5972,52426,0,28679,,642,28037,261
64,PCR,dorm,4.31572832889893,0.244896847437511,1.35057041832301,0.05,1362,1139,53.118,12.642084,0.1362,6084,5647,51409,0,28477,,617,27860,223
65,PCR,dorm,4.28243364382427,0.246977761606563,1.34955202720217,0.05,1471,1197,57.369,13.653822,0.1471,7014,6524,51840,0,28796,,709,28087,274
