rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,NH,4.28403794932926,0.24680355714485,1.35218268424356,0.02,45,42,11.25,3.97125,2.43,119,113,729,0,354,,10,344,3
2,PCR,NH,4.22717560580517,0.24950014428047,1.36141125627351,0.02,63,58,15.75,5.55975,3.402,199,191,736,0,364,,18,346,5
3,PCR,NH,4.32734541310883,0.24590393316174,1.35107307271815,0.02,45,39,11.25,3.97125,2.43,116,106,609,0,370,,10,360,6
4,PCR,NH,4.36804459270846,0.242903776375726,1.35799563321525,0.02,29,27,7.25,2.55925,1.566,50,45,594,0,316,,4,312,2
5,PCR,NH,4.2835705532697,0.246474596791723,1.35715056089569,0.02,69,61,17.25,6.08925,3.726,132,123,639,0,354,,13,341,8
6,PCR,NH,4.3344139100578,0.243904386988713,1.34379822053753,0.02,52,49,13,4.589,2.808,101,99,655,0,376,,10,366,3
7,PCR,NH,4.30927017305212,0.246489672282611,1.35312058309711,0.02,46,40,11.5,4.0595,2.484,134,125,763,0,406,,11,395,6
8,PCR,NH,4.17600780410074,0.255812860651478,1.36370731227971,0.02,41,37,10.25,3.61825,2.214,127,123,746,0,389,,11,378,4
9,PCR,NH,4.21921220211045,0.251780973383727,1.35108120955578,0.02,32,29,8,2.824,1.728,96,87,709,0,385,,8,377,3
10,PCR,NH,4.32336267545257,0.243009793671175,1.36202847476228,0.02,55,53,13.75,4.85375,2.97,66,62,705,0,385,,6,379,2
11,PCR,NH,4.26035902552344,0.246800568962939,1.34555896824447,0.02,36,34,9,3.177,1.944,45,39,645,0,358,,4,354,2
12,PCR,NH,4.29672381868309,0.245093927410935,1.35876946150035,0.02,62,56,15.5,5.4715,3.348,212,201,715,0,386,,20,366,6
13,PCR,NH,4.26150733190865,0.2497344517101,1.35243971979886,0.02,26,24,6.5,2.2945,1.404,108,105,726,0,377,,10,367,2
14,PCR,NH,4.31720634542341,0.244604186409758,1.35448011664609,0.02,14,12,3.5,1.2355,0.756,55,53,728,0,403,,4,399,2
15,PCR,NH,4.31925598086817,0.245563731791873,1.35073941304962,0.02,11,8,2.75,0.97075,0.594,40,34,736,0,378,,4,374,3
16,PCR,NH,4.43701541216233,0.237188429695089,1.36517416414145,0.02,43,40,10.75,3.79475,2.322,99,94,712,0,367,,9,358,3
17,PCR,NH,4.27716969256658,0.246055077314102,1.35463383559041,0.02,64,57,16,5.648,3.456,283,275,804,0,392,,27,365,7
18,PCR,NH,4.17059968015004,0.254570460406617,1.34046230361553,0.02,32,28,8,2.824,1.728,100,93,721,0,351,,10,341,4
19,PCR,NH,4.21072526623928,0.250632012343508,1.34832851879834,0.02,77,74,19.25,6.79525,4.158,197,189,783,0,365,,20,345,3
20,PCR,NH,4.23654734318255,0.249804227424767,1.35186360139759,0.02,31,29,7.75,2.73575,1.674,25,20,607,0,354,,3,351,2
