rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,dorm,4.30933614522149,0.245078235755156,1.34963993507641,0.05,1385,1117,54.015,12.85557,0.1385,6986,6506,27708,0,28840,,708,28132,268
2,PCR,dorm,4.28590342249399,0.246764433728348,1.35162631391208,0.05,1314,1048,51.246,12.196548,0.1314,7005,6489,27394,0,28876,,683,28193,266
3,PCR,dorm,4.30032959557467,0.245836386818897,1.35066195178298,0.05,1252,1008,48.828,11.621064,0.1252,6663,6171,26854,0,28746,,654,28092,244
4,PCR,dorm,4.32940586312435,0.244221219957963,1.35023775778349,0.05,1364,1097,53.196,12.660648,0.1364,7323,6848,27164,0,28616,,726,27890,267
5,PCR,dorm,4.29840985687578,0.245960491180766,1.35183975625759,0.05,1313,1074,51.207,12.187266,0.1313,6916,6471,28103,0,28761,,684,28077,239
6,PCR,dorm,4.29699763127334,0.246212866456953,1.34928876419778,0.05,1388,1098,54.132,12.883416,0.1388,7172,6620,27376,0,28663,,705,27958,290
7,PCR,dorm,4.30470972735043,0.245810364867846,1.34939881686086,0.05,1315,1043,51.285,12.20583,0.1315,6935,6441,27172,0,28629,,704,27925,272
8,PCR,dorm,4.32992045574656,0.243762455349293,1.34897908704174,0.05,1168,954,45.552,10.841376,0.1168,5900,5449,27517,0,28830,,588,28242,214
9,PCR,dorm,4.31998453945507,0.244658255120134,1.35121855039957,0.05,1535,1286,59.865,14.24787,0.1535,7497,6992,26789,0,28836,,750,28086,249
10,PCR,dorm,4.29051534539494,0.24619652388836,1.34952019563776,0.05,1479,1197,57.681,13.728078,0.1479,7485,6977,27477,0,28848,,752,28096,282
11,PCR,dorm,4.31501680217674,0.244810808010318,1.35086686575787,0.05,1412,1123,55.068,13.106184,0.1412,7559,7026,27593,0,28562,,742,27820,289
12,PCR,dorm,4.26866936588564,0.247802210496717,1.35068678964337,0.05,1380,1133,53.82,12.80916,0.138,6590,6107,27512,0,28854,,670,28184,247
13,PCR,dorm,4.32537118977196,0.244523993568462,1.3517007371534,0.05,1509,1219,58.851,14.006538,0.1509,7167,6612,27244,0,28699,,718,27981,290
14,PCR,dorm,4.30433421620295,0.246066730846609,1.34906858920494,0.05,1043,854,40.677,9.681126,0.1043,5248,4877,26944,0,28617,,522,28095,189
15,PCR,dorm,4.28971867724458,0.246396413668055,1.34790902636914,0.05,1330,1088,51.87,12.34506,0.133,6686,6269,27519,0,28981,,673,28308,242
16,PCR,dorm,4.3108877482284,0.244961166556561,1.35009489944757,0.05,1344,1062,52.416,12.475008,0.1344,7053,6513,27630,0,28485,,709,27776,282
17,PCR,dorm,4.29162224427612,0.246586093343165,1.34771581992378,0.05,1447,1180,56.433,13.431054,0.1447,7768,7271,27234,0,28828,,781,28047,267
18,PCR,dorm,4.29235286826614,0.246272470074585,1.35326147654659,0.05,1464,1181,57.096,13.588848,0.1464,7450,6933,26893,0,28558,,732,27826,283
19,PCR,dorm,4.28962780609255,0.246591471830222,1.35085501624267,0.05,1263,1026,49.257,11.723166,0.1263,6558,6071,27487,0,28635,,663,27972,237
20,PCR,dorm,4.30149821629208,0.246000889630664,1.34815169025789,0.05,1329,1067,51.831,12.335778,0.1329,6567,6108,27508,0,28588,,671,27917,262
21,PCR,dorm,4.3306786740122,0.243809100991372,1.35030480787001,0.05,1313,1051,51.207,12.187266,0.1313,6411,5935,27933,0,28894,,650,28244,262
22,PCR,dorm,4.28528898339603,0.247007254147669,1.34937951229087,0.05,1501,1208,58.539,13.932282,0.1501,7707,7142,27368,0,28734,,763,27971,293
23,PCR,dorm,4.29306144581528,0.246255427654111,1.35177352551517,0.05,1324,1090,51.636,12.289368,0.1324,6659,6168,27478,0,28755,,648,28107,234
24,PCR,dorm,4.30778062012988,0.245646893063869,1.34927969215777,0.05,1222,966,47.658,11.342604,0.1222,6566,6086,27268,0,28636,,646,27990,256
25,PCR,dorm,4.31346398498947,0.245337460853834,1.3505659041434,0.05,1344,1114,52.416,12.475008,0.1344,7268,6831,27357,0,28947,,707,28240,230
26,PCR,dorm,4.3069597800546,0.245724304961892,1.35198022723841,0.05,1350,1103,52.65,12.5307,0.135,7033,6529,27407,0,28623,,691,27932,247
27,PCR,dorm,4.30031968815016,0.245855683664868,1.34913566336874,0.05,1380,1114,53.82,12.80916,0.138,7259,6749,27290,0,28604,,706,27898,266
28,PCR,dorm,4.28421581285184,0.247247072085592,1.35081064740768,0.05,1434,1163,55.926,13.310388,0.1434,7525,7045,26786,0,28602,,745,27857,271
29,PCR,dorm,4.31219226757739,0.245386262287755,1.349847477764,0.05,1205,978,46.995,11.18481,0.1205,6380,5953,27612,0,28758,,646,28112,227
30,PCR,dorm,4.28623867003441,0.246554995794214,1.35059187701003,0.05,1309,1057,51.051,12.150138,0.1309,7042,6567,27775,0,28793,,720,28073,252
31,PCR,dorm,4.29457504788916,0.246008833152782,1.34779497543053,0.05,1191,945,46.449,11.054862,0.1191,6453,6023,26862,0,28900,,650,28250,243
32,PCR,dorm,4.32144614002075,0.244317130494688,1.3498012865003,0.05,1317,1078,51.363,12.224394,0.1317,5968,5516,27736,0,28874,,614,28260,239
33,PCR,dorm,4.2752891933435,0.246982810475806,1.3491435054689,0.05,1410,1147,54.99,13.08762,0.141,7156,6659,26986,0,28580,,708,27872,263
34,PCR,dorm,4.30499173363533,0.245517389449714,1.35145505759255,0.05,1142,950,44.538,10.600044,0.1142,5780,5354,27725,0,28848,,564,28284,192
35,PCR,dorm,4.30391864818722,0.245911455001198,1.34930181246182,0.05,1403,1121,54.717,13.022646,0.1403,7050,6519,27499,0,28892,,698,28194,282
36,PCR,dorm,4.32201439046771,0.244707234840314,1.3516402827196,0.05,1213,950,47.307,11.259066,0.1213,6236,5713,27008,0,28880,,625,28255,263
37,PCR,dorm,4.31118909622739,0.24568973119935,1.35157499230908,0.05,1458,1161,56.862,13.533156,0.1458,7383,6763,27257,0,28516,,726,27790,297
38,PCR,dorm,4.29108249937932,0.246088334487887,1.34864703176874,0.05,1345,1090,52.455,12.48429,0.1345,7133,6644,26977,0,28636,,711,27925,255
39,PCR,dorm,4.32928579389574,0.244075816230311,1.34832796633255,0.05,1141,910,44.499,10.590762,0.1141,6074,5623,27100,0,28593,,615,27978,231
40,PCR,dorm,4.32440165132476,0.244758564439937,1.34901421696932,0.05,1365,1108,53.235,12.66993,0.1365,7392,6894,27062,0,28755,,741,28014,257
41,PCR,dorm,4.31932553220456,0.244749007263714,1.35041651337609,0.05,1332,1070,51.948,12.363624,0.1332,6938,6479,27383,0,28668,,693,27975,262
42,PCR,dorm,4.29476689103061,0.245984689460086,1.35368784612109,0.05,1365,1103,53.235,12.66993,0.1365,6982,6449,27369,0,28566,,703,27863,262
43,PCR,dorm,4.30357152261335,0.245859537341578,1.35048000758434,0.05,1415,1130,55.185,13.13403,0.1415,7606,7061,27220,0,28660,,755,27905,285
44,PCR,dorm,4.24915280684013,0.249018339957604,1.34877491224985,0.05,1369,1096,53.391,12.707058,0.1369,7529,7014,27110,0,28616,,740,27876,273
45,PCR,dorm,4.31594270140015,0.245070001822323,1.35128135366379,0.05,1402,1155,54.678,13.013364,0.1402,6916,6468,27175,0,28484,,680,27804,247
46,PCR,dorm,4.27342175973316,0.248157888454554,1.35013829686519,0.05,1358,1098,52.962,12.604956,0.1358,7122,6612,27641,0,28667,,723,27944,260
47,PCR,dorm,4.32752163672877,0.244187542005807,1.35168854352147,0.05,1369,1102,53.391,12.707058,0.1369,7177,6662,27911,0,28959,,718,28241,267
48,PCR,dorm,4.29844596847153,0.245809921615384,1.34893110112232,0.05,1322,1063,51.558,12.270804,0.1322,6663,6179,26877,0,28585,,670,27915,259
49,PCR,dorm,4.27747862325321,0.246953642982311,1.34940771290199,0.05,1471,1162,57.369,13.653822,0.1471,7878,7292,27142,0,28841,,799,28042,309
50,PCR,dorm,4.34634915708079,0.243083935723729,1.35042601459141,0.05,1088,868,42.432,10.098816,0.1088,5555,5093,27761,0,28779,,567,28212,220
51,PCR,dorm,4.29431859419239,0.246058004366339,1.34880903517783,0.05,1187,944,46.293,11.017734,0.1187,6101,5600,27378,0,28742,,613,28129,243
52,PCR,dorm,4.31417997196485,0.245032735700027,1.34966823370932,0.05,1451,1198,56.589,13.468182,0.1451,7235,6748,27423,0,28689,,719,27970,253
53,PCR,dorm,4.29018434485697,0.246830657619985,1.34915698431794,0.05,1310,1058,51.09,12.15942,0.131,6521,6047,27387,0,28756,,653,28103,252
54,PCR,dorm,4.3081099291484,0.244764805026714,1.3548246897114,0.05,1626,1304,63.414,15.092532,0.1626,8562,7985,27738,0,28882,,862,28020,322
55,PCR,dorm,4.30688099065937,0.245375969754918,1.34575206628672,0.05,1287,1031,50.193,11.945934,0.1287,6708,6186,27558,0,28618,,693,27925,256
56,PCR,dorm,4.31026911947124,0.245201779877367,1.34832289136886,0.05,1465,1179,57.135,13.59813,0.1465,7630,7078,27500,0,28887,,758,28129,286
57,PCR,dorm,4.26126371046416,0.248312000223772,1.34848777571296,0.05,1480,1209,57.72,13.73736,0.148,7450,6928,27666,0,28792,,748,28044,271
58,PCR,dorm,4.3122782554893,0.245135879361333,1.351014730011,0.05,1301,1073,50.739,12.075882,0.1301,6396,5928,27370,0,28813,,636,28177,228
59,PCR,dorm,4.29428307166707,0.24620249838895,1.34749257202203,0.05,1208,973,47.112,11.212656,0.1208,6071,5573,27434,0,28690,,610,28080,235
60,PCR,dorm,4.30495136984433,0.24569234207009,1.3507669241333,0.05,1363,1142,53.157,12.651366,0.1363,6652,6200,27346,0,28623,,659,27964,221
61,PCR,dorm,4.31180088072823,0.245486948471195,1.35079981274983,0.05,1282,1046,49.998,11.899524,0.1282,6417,5952,27475,0,28661,,631,28030,236
62,PCR,dorm,4.3002445024406,0.245668926888459,1.35020432475451,0.05,1442,1167,56.238,13.384644,0.1442,7135,6664,27042,0,28595,,723,27872,275
63,PCR,dorm,4.31064485525301,0.245521461852547,1.35146527403932,0.05,1269,1032,49.491,11.778858,0.1269,6382,5928,27028,0,28538,,634,27904,237
64,PCR,dorm,4.31558715660675,0.244592671565046,1.35095374045089,0.05,1283,1044,50.037,11.908806,0.1283,6374,5894,27232,0,28596,,651,27945,239
65,PCR,dorm,4.28086343442338,0.246780544376878,1.35233125280079,0.05,1301,1056,50.739,12.075882,0.1301,6457,6017,27377,0,28614,,641,27973,245
66,PCR,dorm,4.28936323925083,0.246519790802204,1.35203475267323,0.05,1262,1001,49.218,11.713884,0.1262,6734,6219,26973,0,28412,,671,27741,261
67,PCR,dorm,4.3073374495021,0.24532041329864,1.34938878163851,0.05,1289,1040,50.271,11.964498,0.1289,6741,6261,27034,0,28712,,673,28039,249
68,PCR,dorm,4.27602979628291,0.247244744846038,1.35217599924425,0.05,1269,1040,49.491,11.778858,0.1269,6424,6011,27449,0,28866,,641,28225,229
69,PCR,dorm,4.28754010406104,0.246745513925392,1.35041637668952,0.05,1306,1042,50.934,12.122292,0.1306,7385,6852,26988,0,28640,,742,27898,264
70,PCR,dorm,4.28477867124262,0.246814526041247,1.35251767610135,0.05,1512,1226,58.968,14.034384,0.1512,8011,7451,27382,0,28592,,781,27811,286
71,PCR,dorm,4.31494875194245,0.245229499473265,1.35012114214919,0.05,1196,967,46.644,11.101272,0.1196,6244,5825,27434,0,28508,,615,27893,229
72,PCR,dorm,4.30957164203399,0.245211513777203,1.35113203810694,0.05,1218,976,47.502,11.305476,0.1218,6649,6212,27559,0,28728,,667,28061,242
73,PCR,dorm,4.32704470239574,0.244313138299851,1.34992599083689,0.05,1283,1020,50.037,11.908806,0.1283,6550,5989,27098,0,28680,,674,28006,263
74,PCR,dorm,4.27937047663571,0.247298056683206,1.35054540291229,0.05,1423,1146,55.497,13.208286,0.1423,7323,6763,27516,0,28635,,732,27903,277
